id,campaignId,uniqueCode,isUsed,userId,userEmail,redemptionValue,redemptionSource,redemptionDevice,redemptionLocation,redemptionUrl,createdAt,redeemedAt,expiresAt,updatedAt
rc_h2o_001,campaign_h2o_clean_2025,H2O-CLEAN-001,false,,,25.00,email,mobile,San Francisco CA,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Wed Dec 31 2025 23:59:59 GMT-0800 (Pacific Standard Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_h2o_002,campaign_h2o_clean_2025,H2O-CLEAN-002,false,,,25.00,social,desktop,Los Angeles CA,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Wed Dec 31 2025 23:59:59 GMT-0800 (Pacific Standard Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_h2o_003,campaign_h2o_clean_2025,H2O-CLEAN-003,false,,,25.00,email,tablet,Seattle WA,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Wed Dec 31 2025 23:59:59 GMT-0800 (Pacific Standard Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_h2o_004,campaign_h2o_clean_2025,H2O-CLEAN-004,false,,,25.00,social,mobile,Portland OR,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Wed Dec 31 2025 23:59:59 GMT-0800 (Pacific Standard Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_h2o_005,campaign_h2o_clean_2025,H2O-CLEAN-005,false,,,25.00,direct,desktop,Denver CO,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Wed Dec 31 2025 23:59:59 GMT-0800 (Pacific Standard Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_solar_001,campaign_hydro_solar_spring,SOLAR-HYDRO-001,false,,,50.00,email,mobile,Austin TX,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Tue Sep 30 2025 23:59:59 GMT-0700 (Pacific Daylight Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_solar_002,campaign_hydro_solar_spring,SOLAR-HYDRO-002,false,,,50.00,social,desktop,Phoenix AZ,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Tue Sep 30 2025 23:59:59 GMT-0700 (Pacific Daylight Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_solar_003,campaign_hydro_solar_spring,SOLAR-HYDRO-003,false,,,50.00,email,tablet,Miami FL,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Tue Sep 30 2025 23:59:59 GMT-0700 (Pacific Daylight Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_solar_004,campaign_hydro_solar_spring,SOLAR-HYDRO-004,false,,,50.00,social,mobile,Atlanta GA,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Tue Sep 30 2025 23:59:59 GMT-0700 (Pacific Daylight Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
rc_solar_005,campaign_hydro_solar_spring,SOLAR-HYDRO-005,false,,,50.00,direct,desktop,Nashville TN,,Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time),Tue Sep 30 2025 23:59:59 GMT-0700 (Pacific Daylight Time),Tue Dec 30 2025 16:00:00 GMT-0800 (Pacific Standard Time),Tue Aug 05 2025 05:15:56 GMT-0700 (Pacific Daylight Time)
